Product_name,Quantity,Category,Subcategory,Subcategory2,Subcategory3,
Original Beef Jerky,173,Food,Snack,Beef,All,
GoGo SqueeZ Applesauce Cinnamon 3.2oz.,169,Food,Fruit,,All,
Planters - Honey Roasted,169,Food,Snack,Nuts,All,
Monster Energy,168,Beverage,Energy Drink,,All,
r,167,,,,,
Flavored Latte 16oz - ICED,166,Beverage,Cold Coffee,,All,
Minute Maid - Orange Juice,165,Beverage,Juice,,All,
Swoffle - French Vanilla,163,Food,Snack,Waffle,All,
Kates Peanut Butter Hemp & Flax,161,Food,Snack,Bar,All,
Jalapeno,159,Food,Vegetable,Peppers,All,
Kates Lemon Coconut,158,Food,Snack,Bar,All,
Cheetos - Crunchy,158,Food,Snack,Chips,All,
Naked Juice Mighty Mango,158,Beverage,Juice,,All,
Nutrigrain - Strawberry,157,Food,Snack,Bar,All,
Skittles - Original 2.17 oz.,157,Food,Snack,Candy,All,
Cereal Cup - Honey Nut Cheerios,156,Food,Cereal,Honey & Nut,Breakfast,
Gatorade - Thirst Quencher - Orange 20oz,156,Beverage,Sports Drink,,All,
Smart Water,154,Beverage,Water,,All,
Kates - OATMEAL CRANBERRY & ALMOND 2.2oz,154,Food,Snack,Bar,All,
Silk Almond - Dark Chocolate,153,Beverage,Milk,Healthy,All,
pop,153,Beverage,Soda,,All,
Energy 2 - Reign,152,Beverage,Energy Drink,,All,
Canada Dry - Ginger Ale 12oz.,152,Beverage,Soda,,All,
Black and Blueberry - Made with Almond Milk,152,Beverage,Smoothie,,All,
Emp Redbull\Monster,151,Beverage,Energy Drink,,All,
Wonderful Pistachios No Shells Roasted & Salted 0.,151,Beverage,Snack,Nuts,All,
3 Musketeers Candy Bar 1.92oz.,150,Food,Snack,Candy,All,
juice,150,Beverage,Juice,,All,
Latte 12oz - ICED,149,Beverage,Cold Coffee,,All,
Pop-Tarts - Frosted Brown Sugar Cinnamon 3.3oz.,148,Food,Desert,Pastries,All,
q,146,,,,,
Naked Juice - Mighty Mango 15.2 oz.,146,Beverage,Juice,,All,
Jackson Hole Moose Poop,146,Food,Snack,Candy,All,
Gold Peak Unsweetened Tea,146,Beverage,Tea,,All,
Orbit Sugar Free Spearmint Gum 14pc.,146,Food,Snack,Gum,All,
Advil Tablet,145,Medicine,Medicine,,All,
Tylenol Extra Strength,144,Medicine,Medicine,,All,
stickers,144,Home Decor,Sticker,,All,
Zero Lemon -Vitamin Water,144,Beverage,Vitamin Water,,All,
gatorade,144,Beverage,Sports Drink,,All,
Tropical Sunrise Mix,143,Food,Snack,Nuts,All,
Emp Casndy,143,Food,Snack,Candy,All,
Reeses 2 Peanut Butter Cups,143,Food,Snack,Candy,All,
Kates - WHITE CHOCOLATE MACADAMIA Bar 2.2oz,142,Food,Snack,Bar,All,
Vitamin Water - Rise,141,Beverage,Vitamin Water,,All,
SuckerPunch Gourmet Bread & Butter Pickle Chips,141,Food,Snack,Pickle,All,
Gatorade - Thirst Quencher - Lemon Lime 20oz.,140,Beverage,Sports Drink,,All,
Sun Chips - French Onion 1.5oz.,140,Food,Snack,Chips,All,
Nutella & Go - Hazelnut Spread and Breadsticks,139,Food,Snack,Syrup,All,
Grandmas - Oatmeal Raisin Cookies 2.5oz.,139,Food,Snack,Cookie,All,
Peppered Beef Jerky - Wyoming Gourmet,139,Food,Snack,Beef,All,
